Candidatos|Votos|Porcentaje
1989 Única votación País
PATRICIO AYLWIN| 3,850,571|  53.79
HERNAN BUCHI| 2,052,116|  28.67
FRANCISCO JAVIER ERRAZURIZ| 1,077,172|  15.05
Válidamente Emitidos| 6,979,859| 97.5
 Votos Nulos| 103,631| 1.45
 Votos Blanco| 75,237| 1.05
 Total| 7,158,727| 100.0
 1993 Única votación País
EDUARDO FREI RUIZ-TAGLE| 4,044,112|  54.77
ARTURO ALESSANDRI BESA| 1,703,070|  23.07
JOSE PIÑERA ECHENIQUE| 431,176|  5.84
MANFRED MAX NEFF| 387,371|  5.25
EUGENIO PIZARRO POBLETE| 327,404|  4.43
CRISTIAN REITZE CAMPOS| 81,814|  1.11
Válidamente Emitidos| 6,974,947| 94.47
 Votos Nulos| 271,389| 3.68
 Votos Blanco| 136,950| 1.85
 Total| 7,383,286| 100.0
 1999 Primera vuelta País
RICARDO LAGOS| 3,383,334|  46.53
JOAQUIN LAVIN| 3,352,192|  46.1
GLADYS MARIN| 225,224|  3.1
TOMAS HIRSCH| 36,235|  0.5
SARA LARRAIN| 31,319|  0.43
ARTURO FREI| 26,812|  0.37
Válidamente Emitidos| 7,055,116| 97.02
 Votos Nulos| 159,465| 2.19
 Votos Blanco| 56,991| 0.78
 Total| 7,271,572| 100.0
 1999 Segunda vuelta País
RICARDO LAGOS| 3,683,158|  50.27
JOAQUIN LAVIN| 3,495,569|  47.71
Válidamente Emitidos| 7,178,727| 97.98
 Votos Nulos| 103,351| 1.41
 Votos Blanco| 44,675| 0.61
 Total| 7,326,753| 100.0
 2005 Primera vuelta País
MICHELLE BACHELET| 3,190,691|  44.27
SEBASTIAN PIÑERA| 1,763,694|  24.47
JOAQUIN LAVIN| 1,612,608|  22.37
TOMAS HIRSCH| 375,048|  5.2
Válidamente Emitidos| 6,942,041| 96.32
 Votos Nulos| 180,485| 2.5
 Votos Blanco| 84,752| 1.18
 Total| 7,207,278| 100.0
 2005 Segunda vuelta País
MICHELLE BACHELET| 3,723,019|  51.98
SEBASTIAN PIÑERA| 3,236,394|  45.19
Válidamente Emitidos| 6,959,413| 97.17
 Votos Nulos| 154,972| 2.16
 Votos Blanco| 47,960| 0.67
 Total| 7,162,345| 100.0
 2009 Primera vuelta País
SEBASTIAN PIÑERA| 3,074,164|  42.32
EDUARDO FREI| 2,065,061|  28.43
MARCO ENRIQUEZ-OMINAMI| 1,405,124|  19.34
JORGE ARRATE| 433,195|  5.96
Válidamente Emitidos| 6,977,544| 96.05
 Votos Nulos| 200,420| 2.76
 Votos Blanco| 86,172| 1.19
 Total| 7,264,136| 100.0
 2009 Segunda vuelta País
SEBASTIAN PIÑERA| 3,591,182|  49.85
EDUARDO FREI| 3,367,790|  46.75
Válidamente Emitidos| 6,958,972| 96.61
 Votos Nulos| 189,490| 2.63
 Votos Blanco| 54,909| 0.76
 Total| 7,203,371| 100.0
 2013 Primera vuelta País
MICHELLE BACHELET JERIA| 3,075,839|  45.91
EVELYN MATTHEI FORNET| 1,648,481|  24.61
MARCO ENRIQUEZ-OMINAMI GUMUCIO| 723,542|  10.8
FRANCO ALDO PARISI FERNANDEZ| 666,015|  9.94
MARCEL CLAUDE REYES| 185,072|  2.76
ALFREDO SFEIR YOUNIS| 154,648|  2.31
ROXANA MIRANDA MENESES| 81,873|  1.22
RICARDO ISRAEL ZIPPER| 37,744|  0.56
TOMAS JOCELYN-HOLT LETELIER| 12,594|  0.19
Válidamente Emitidos| 6,585,808| 98.31
 Votos Nulos| 66,935| 1.0
 Votos Blanco| 46,268| 0.69
 Total| 6,699,011| 100.0
 2013 Segunda vuelta País
MICHELLE BACHELET JERIA| 3,470,379|  60.91
EVELYN MATTHEI FORNET| 2,111,891|  37.07
Válidamente Emitidos| 5,582,270| 97.97
 Votos Nulos| 82,916| 1.46
 Votos Blanco| 32,565| 0.57
 Total| 5,697,751| 100.0
 2017 Primera vuelta País
SEBASTIAN PIÑERA ECHENIQUE| 2,418,540|  36.08
ALEJANDRO  GUILLIER ALVAREZ| 1,498,040|  22.35
BEATRIZ SANCHEZ MUÑOZ| 1,338,037|  19.96
JOSE ANTONIO KAST RIST| 523,375|  7.81
CAROLINA GOIC BOROEVIC| 387,784|  5.78
MARCO  ENRIQUEZ-OMINAMI GUMUCIO| 376,871|  5.62
EDUARDO ARTES BRICHETTI| 33,665|  0.5
ALEJANDRO NAVARRO BRAIN| 23,968|  0.36
Válidamente Emitidos| 6,600,280| 98.12
 Votos Nulos| 64,504| 0.96
 Votos Blanco| 38,543| 0.57
 Total| 6,703,327| 100.0
 2017 Segunda vuelta País
SEBASTIAN PIÑERA ECHENIQUE| 3,796,918|  53.99
ALEJANDRO  GUILLIER ALVAREZ| 3,160,628|  44.94
Válidamente Emitidos| 6,957,546| 98.63
 Votos Nulos| 56,440| 0.8
 Votos Blanco| 18,892| 0.27
 Total| 7,032,878| 100.0
 2021 Primera vuelta País
JOSE ANTONIO KAST RIST| 1,961,779|  27.58
GABRIEL BORIC FONT| 1,815,024|  25.51
FRANCO PARISI FERNANDEZ| 900,064|  12.65
SEBASTIAN SICHEL RAMIREZ| 898,635|  12.63
YASNA PROVOSTE CAMPILLAY| 815,563|  11.46
MARCO ENRIQUEZ-OMINAMI GUMUCIO| 534,383|  7.51
EDUARDO ARTES BRICHETTI| 102,897|  1.45
Válidamente Emitidos| 7,028,345| 98.32
 Votos Nulos| 55,480| 0.78
 Votos Blanco| 30,493| 0.43
 Total| 7,114,318| 100.0
 2021 Segunda vuelta País
GABRIEL BORIC FONT| 4,621,231|  55.25
JOSE ANTONIO KAST RIST| 3,650,662|  43.64
Válidamente Emitidos| 8,271,893| 98.48
 Votos Nulos| 68,616| 0.82
 Votos Blanco| 23,972| 0.29
 Total| 8,364,481| 100.0
 