A–o;Vuelta;Candidato;Partido;Coalicion;Polarizaci—n vuelta 1 ;Polarizaci—n vuelta 2;Polarizaci—n total
1989;0;Hernan Buchi;Independiente;Democracia y Progreso;N/A;N/A;3
;0;Francisco Errazuriz;Independiente;Independiente;;;
;0;Patricio Ailwyn;DC;Concertacion;;;
1993;0;Manfred Max;Movimiento Ecologista;X;N/A;N/A;2
;0;Eugenio Pizarro;Independiente;Alternativa Democratica de Izquierda Allendista;;;
;0;Eduardo Frei;DC;Concertacion;;;
;0;Cristian Reitze;;Alianza Humanista Verde;;;
;0;Arturo Alessandri;;Union por el Progreso de Chile;;;
;0;Jose Pi–era;Independiente;X;;;
1999;1;Arturo Frei;Independiente;Alianza Popular;3;3;3
;1;Sara Larrain;Independiente;Independiente;;;
;1;Gladys Marin;PC;La Izquierda;;;
;1;Ricardo Lagos;PPD;Concertacion;;;
;1;Tomas Hirsch;PH;Alianza Humanista Verde;;;
;1;Joaqu’n Lavin;UDI;Alianza;;;
;2;Ricardo Lagos;PPD;Concertacion;;;
;2;Joaqu’n Lavin;UDI;Alianza;;;
2005;1;Sebastian Pi–era;RN;Alianza;3;3;3
;1;Michelle Bachelet;PS;Concertacion;;;
;1;Tomas Hirsch;PH;Juntos Podemos Mas;;;
;1;Joaqu’n Lavin;UDI;Alianza;;;
;2;Michelle Bachelet;PS;Concertacion;;;
;2;Sebastian Pi–era;RN;Alianza;;;
2009;1;Eduardo Frei;DC;Concertacion;3;2;2,5
;1;Sebastian Pi–era;RN;Coalicion por el Cambio;;;
;1;MEO;Independiente;Nueva Mayoria Para Chile;;;
;1;Jorge Arrate;PC;Juntos Podemos Mas;;;
;2;Sebastian Pi–era;RN;Coalicion por el Cambio;;;
;2;Eduardo Frei;DC;Concertacion;;;
2013;1;Michelle Bachelet;PS;Nueva Mayoria;3;3;3
;1;MEO;PRO;Si tu quieres, Chile cambia;;;
;1;Evelyn Matthei;UDI;Alianza;;;
;1;Franco Parisi;Independiente;X;;;
;1;Marcel Claude;PH;Todos a La Moneda;;;
;1;Alfredo Sfeir;PEV;X;;;
;1;Roxana Miranda;IGUAL;X;;;
;1;Ricardo Israel;PRI;X;;;
;1;Tomas Jocelyn-Holt;Independiente;X;;;
;2;Michelle Bachelet;PS;Nueva Mayoria;;;
;2;Evelyn Matthei;UDI;Alianza;;;
2017;1;Sebastian Pi–era;RN;Chile Vamos;4;3;3,5
;1;Alejandro Guillier;Independiente;La Fuerza de la Mayoria;;;
;1;Beatriz Sanchez;Independiente;Frente Amplio;;;
;1;JAK;Independiente;X;;;
;1;Carolina Goic;DC;X;;;
;1;MEO;PRO;X;;;
;1;Eduardo Artes;UPA;X;;;
;1;Alejandro Navarro;Pais;X;;;
;2;Sebastian Pi–era;RN;Chile Vamos;;;
;2;Alejandro Guillier;Independiente;La Fuerza de la Mayoria;;;
2021;1;JAK;Republicano;Frente Social Cristiano;4;5;4,5
;1;Franco Parisi;PDG;X;;;
;1;Yasna Provoste;DC;Nuevo Pacto Social;;;
;1;Sebastian Sichel;Independiente;Chile Podemos M‡s;;;
;1;MEO;PRO;X;;;
;1;Eduardo Artes;UPA;X;;;
;1;Gabriel Boric;CS;Apruebo Dignidad;;;
;2;JAK;Republicano;Frente Social Cristiano;;;
;2;Gabriel Boric;CS;Apruebo Dignidad;;;
2025;1;Harold Mayne-Nicholls;Independiente;X;4;5;4,5
;1;Franco Parisi;PDG;X;;;
;1;MEO;Independiente;X;;;
;1;Eduardo Artes;Independiente;X;;;
;1;JAK;Republicano;Cambio por Chile;;;
;1;Jeannette Jara;PC;Unidad por Chile;;;
;1;Johannes Kaiser;PNL;X;;;
;1;Evelyn Matthei;UDI;Chile Grande y Unido;;;
;2;JAK;Republicano;Cambio por Chile;;;
;2;Jeannette Jara;PC;Unidad por Chile;;;